english_word,word_type,wolof_meaning
peanut butter,n,dege.
peanut cake,n,"gato, ngato."
peanut stew,ex,maafe.
peanuts,n,gerte.
pear,n,piya.
peasant,n,jambur.
pecker(slang),n,kooy.
pedal,n,pedaal.
peel,v,"les, xooli."
peelings,n,xoolit.
peep,va,yurndu.
peeping,v,yurndoo.
peep(over one's face),v,wedaañaamu.
pegs,n,keppu.
pegs,v,keppa.
perform ablution,v,jaappa.
perform abolution,v,tiim.
period,n,"diir, jamaano, tan, woxtu/waxtu."
perpire,v,ñaxa.
persevere,va,muñ.
person,n,nit.
personality,n,donma.
personality,adv,fayda.
person's witch craft,v,jafuur.
perturb,v,géten.
pestle,n,kuur.
petrol,n,esaans.
petrol/gas station,n,esaanseer.
phlegm,n,ñandaxit.
photograph,n,nataal.
pick,v,for.
pick a lock,v,jaabal.
pick up,v,"fob/fab, seepi/sipi."
pick up quickly,ex,cófit.
picking up things,n,foraatu.
picture,n,nataal.
piece,n,dogit.
piece of music,n,buum.
piece of music,v,galan.
piece of wood,n,banta.
pieces,n,xootit.
pierce,v,soo.
pierce,n,bónaa.
pig,n,mbaam.
pig(domestic),n,mbaam.
pigeon,n,pitax.
piginy,n,kuus.
pile,v,jal.
pile,n,"saam, tar."
pile,v,naaf.
pimple,n,picca-picca.
pin,v,"keppa, tapa."
pin,n,pengu.
pinch,v,"dompat, tëcca/ticca."
pineapple,n,sanaan.
pious,va,"seela, yiiw."
pipe (smoking pipe),n,géna.
pipe(smoking pipe),n,xaanu.
pirate,v,toopandoor.
pit,n,"kamba, pax."
pity,n,yérmaande.
pity,va,yérém.
pity oneself,n,yérémantalu.
place,n,"bërëb/barab, noo, palaas, yaa."
place,v,"laa, palaase, taaj, teg."
plait,v,"létta, maab."
plan for,v,nata.
plant,v,jëmbat.
plaster,v,"taf, tan."
plaster a floor,v,dar.
plaster with cement/mud,v,raax.
plastic,n,palastig.
plastic bag,n,mbuus.
plate,n,aset.
play,n,po.
play,v,fo.
play drums,v,tëga.
play eating,v,kojomtu.
play love,v,kooca/koocax.
playing cards,n,karto.
please,v,"ban, lel."
please (to God),va,soobee.
pleasure,n,coobare.
pleat,v,ras.
plenty,va,oom.
plenty,n,bari.
pluck,v,"faxa, fooxa, suxi, wita."
plunge in (expression),n,soobu.
plunge in (expression) (inten),n,cumbux.
"plunge(in river, ocean e.",v,sóobu.
pocket,n,"jiba, poos."
poke,v,"cuxuň, ruux, subux."
poke(one's forehead),v,pañas.
police,n,polis.
police(slang),n,coy.
polish(shoe),v,siraas.
polite,va,mandu.
politics,n,politig.
pond,n,déeg.
ponder,v,xalaat.
pool,n,"déeg, wayo."
poor,va,"ñakka, torox."
poor man,n,miskiin.
poor person,n,baadoola.
porridge,n,"cuuraa, fasoo, fonde, laax."
portion,n,xaajo.
portrait,n,nataal.
possess,v,yore.
possession,pa,bos.
possession,v,moom.
possessions,pospn,yos.
pot,n,"kawdiir, sujeer."
potatoes,n,pompiteer.
pot-belly,n,koola.
pound,n,"liibar, sooxa."
pound,v,wol.
pounded mould grain,n,naaka/mburu.
pour,adj,bon.
pour,v,"sooti, tuur."
pour(slowly),v,xeeli.
powder,n,sunguf.
powder(baobab leaf),n,laalo.
power,n,"doole, kattan."
praise,v,"santa, taga."
praise be to God(Arabic),ex,alxamdulilaa
praise singers,n,"géwël, ñeeño"
pray,n,juli
pray,v,ñaan
pray for,v,ñaanal
praying place,n,ñaanukaay
preach,v,"waar, waare"
precisely,ex,saalaaw
precisely,n,sax
precocions,va,goog
precocious,va,panka
pregnancy,n,biir
pregnant,va,biir
preparation,n,paree
prepare,v,"lal, paree"
prepare,n,parepaare
prepare,va,paree
prepared,va,fasoo
prepare(for),v,pareel
preparing,n,paree
prescription,n,ndigtal
presence,n,jëmma/jomma
present,va,teew
present,n,yóobal
press,v,fudda
prestige,n,daraja
pretend,v,fooj
prevent,v,"baare, fanxa, kal, tere"
price,n,njëg
prick,v,cuut/cuuc
prickly heat,n,picca-picca
priest,n,laabe
prim,va,leeral
Prince,n,lingeer
princess,n,lingéer
prison,n,kaso
problem,n,jafe jafe
problem,va,soxla
proceed,v,jiitu
profession,n,méecé
proffession,n,ligeey
prohibit,v,"aayee, tere"
promise,v,dig
prompt,v,gaaganti
prophet,n,yonnént
proselyte,n,tuubéen
prosperity,va,naat
prostitute,n,cagga
prostitution,n,caggatu
protect,n,tanka
protect,v,saama
protection,n,"garolemaa, aar"
protestant,n,"katolik, gurment"
"proud,",va,fuuy
provincial chief,n,ciif
provisions,n,nduggu
provoke,v,toon
puberty for girls,v,janxatu
pubic hair,n,"cooka, jaaf"
puddle,n,taa
pull off from,v,fuxi
pull out,v,loxati
pump,n,pompe
pumpkin,n,"baanga, naajo"
punch with the fist,v,këmëx
puncture,n,soo
pupil,n,njaangaan
pure,adj,piir
pure,va,piir
purse,n,"kalpe, nafa, poos"
push,v,puus
put,v,"def, laa, taaj, teg"
put a load on one's,n,yen
put a load on one's,v,en
put indisorder,va,ruubaate
put infront,v,jiital
put on,v,sol
put on weight,va,am-yaram
put out,v,"kamaj, óf"
put together,v,boole
puzzle,v,umpa
puzzle,n,firndé
puzzles,n,cах
python,n,yeew
quarral,v,xulóo
quarrel,n,"tafaar, xuloo"
quarrel,v,niiroo-naaroo
queen,n,buumi
querilla,n,dinool
question,n,laŋ
question,v,laajte
question,int,ban
quick,n,gaaw
quiet,n,"nopi, miikar"
quiet,ex,tuuk
quiet,va,"miskar, noppi, selew"
race,n,xeet
radio,n,rajo
rain,v,taw
rained,v,tawat
rainy season,n,nawet
raise,v,"yar, yóoka"
rape,v,yeketaan
rapist,n,yeketaankat
rare,v,yafal
rascal,va,saasaay
rat,n,kaña
raw peanuts,n,gerte-xaaran
reach,n,jot
reach one's limit,v,"sës, teesal"
read,v,janga
read syllable by syllable,v,ijji
ready,adv,banta
ready,va,paree
ready to do something,va,nar
really,adv,lënxa
rebuke,v,daral
rebuke someone,v,daral
recall,v,xaamaleku
receipt,n,risit
receive one's pay,v,feyeeku
reciprocal relationship,n,jëflante
recite,v,tari
recognise,v,"xaamee, xaamaleku"
recognize,v,neemeeku
recommend,v,diggal
recover from,v,ximaleku
recover from a faint,v,ximi
rectify,v,"bijanti, gaaganti"
red,n,xonxa
reduce,v,waañi
reduce,n,waañeeku
reduced,n,waañeeku
reduced,v,talaata
reed,n,"ñax, waa"
referee,n,arbit
refuse,va,lanka
refuse,v,bañ
regale,v,teral
regard,n,kersa
regret,v,reécu
reject,v,geeda
rejoice,va,"baaneex, baaneexu"
relative,n,mbooka
relatives,rp,su/bu
relax,v,jeeki
relax,n,nopaleku
relief,v,wolu
relieve,v,noppal
religion,n,diiné
reluctance,va,ñeeg
remain,va,manke
remain,v,des
remains,n,ndësit
remember,v,faateleku
reminant,n,ndësit
remove,n,génee
remove,v,"laali, randal, teegi"
remove patching materials,v,fatarñi
remove with force,v,faxa
renounce,v,xaacee
repair,v,"defar, gaar, jagal"
repeat,n,defaat
repeat,v,woxaat
report,n,xibaar
report,v,boole
representative,n,ndaw
research,v,geestu
resemble,v,xelmati
residence,n,"kër, yaa, dekuwaay"
resident,n,waa
residue,n,ndësit
respect,va,"naw, yaru"
respect,v,fonka
respect,n,"cër, kersa, teranga"
respect,adv,fayda
respectful,va,aajo
respond,v,"tóntu, uyu, wuyoo, wuyu"
respond rudely,v,gédda
respond to someone rudely,v,jaandi/jaani
response to a call,ex,naam
responsible,v,saytu
rest,v,noppaleku/noppalu
restless,va,muut-muuti
restrain,v,"tiye, xañ"
resurrect,v,deekali
retaliate,v,"feyu, fipu"
retract,v,weedi
retreat,v,woñeeku
retrieve,v,feeň
return,v,"baakanti, deeloo, woñeeku"
return to live,v,deeki
reveal,v,feeñal
revenge,v,feyu
review,v,seega
revise,v,geestu
revive,v,"deekali, deeki"
rhun-palm,n,ron
rib,n,faar
rice,n,"ceeb, maalo, sanxal"
rich,va,riis
ride,v,war
rider,n,dawalkat
right hand,n,ndeyjoor
ring,n,jaaru
ring worm,v,gëgër
rinse,v,yalandi
rinse the mouth,v,galaxndeku
rip off,n,"Jeeti, tapale"
ripe,va,ñor
ripen,v,rënxa
risk,v,jëngu
rivalry,n,wujje
rivals,n,jamaale/namaale
river,n,dex
ro receive,v,jot
road,n,"mbedda, yoon"
road,dem,nii
"road, street",n,tali
roam,v,"wór, yaay"
roast,v,saaf
roasted peanuts,n,caaf
roast(slang),v,fuur
robe,n,"kamisool, xaftaan"
rock,n,xeer/doj
roll,v,"bórón, laxas"
roll on the ground,n,bóróngu
room,n,neeg
roots,n,reen
rope,n,buum
rope for the well,n,goj
rosary beeds,n,saapilet
rot,v,nëb/nób
rotten,v,nëb/nób
round,adj,móróg
roving farmers,n,surga
rub,v,"raay, riib"
rub(the eye),v,toxoň
rude,va,"luubu/luugu, reew"
rude/sulky,va,beew
rug,n,tape
rule,v,"dogal, saytu"
rumple,n,ñagas
rumple,va,sufuné
run,v,"bori, daw"
run about,adj,fir-firi
run about,expression,bór-bóri
run after someone/thing,v,daaxee
run helter skelter,v,dani-dani
run in a confused manner,adj,fir-firi
run(imperative),v,dawal
running water tap,n,pompe
's,rm,i
sacrifice,v,"sarax, walanteeru"
sad,va,mer
safe,n,kees
said,v,"ko, ne"
salary,n,pey
sales,n,njarte
salivates,v,yuut
salt,n,xorom
salted & dried meat,n,ketandi
salty,n,xorome
same,va,tooloo
same,n,nuroo
same,adv,sax
sap,n,"laalo, meen"
sapilet,n,kurus
sarong,n,"mallam/monaam, sër"
satan,n,"ibliis, seytaane"
satisfied,va,suur
satisfied/good,n,doylu
Saturday,n,"aset, samdi"
sauce,n,soos
save,v,"deñca, musal, sutura, wolu, wollu"
save,va,oór
"save from trouble, etc",n,musal
"save from trouble, et",v,tanka
savior,n,musalkat
say,v,"fo, ko, ne, nel, wax/wox, wox/wax"
saying,vn,foo
saying,n,"kaadu, waxin"
scale,v,waas
scales(fish),n,wasintoor
scarcity,va,ñakka
scarcity,n,mankoo
scarf,n,"fulaar, kaala, tegu"
scatter,v,"tas, tasaare"
scattered,va,tasaaroo
scavenge,v,"for, kës"
scavenging,n,foraatu
scent,n,xet
scholar,n,jangakat
school,n,"jangu, jangukaay"
scissors,n,siso
scoop,v,buub
score,n,marke
scorpion,n,jiit
scowl,v,ñangal
scramble,v,"ngiiroo/njiiroo, njiiroó"
scrape,v,"ooyi/oy, xoos"
scratch,v,"esen, gaja, ooka, ookatu, xosi"
scream,v,yuuxu
screws,n,wiis
scrub,v,"ragga, sooca"
scrub clothes,v,fete
sea,n,geej
seagull,n,kiri-geej
seamstress,n,ñawkat
search,v,"kisi-kisi, niit, seet, ut"
search around for food,v,kës
search for,va,laxaarci/laxaañi
search for,v,wut/ut
season,n,tan
second,n,ñaareel
second wife,n,ñaareeli jabar
secret,va,kumpa
secretive,n,sutura
secretive,adj,sutura
section,n,"waala, parti"
section of tree,n,banxaas
secure,v,garde
secure someone,v,sutura
security,n,gardekat
see,v,"gis, seet, xool"
see each other,v,gisee
see off,v,gungeé
seed,n,"peepa, xoox, jiwu"
seek a way,v,fexe
segment,v,waala
seige,n,waafu
seige,v,gaapa/haar
seizure of one's right,n,nooteel
select,v,taanal
self control,n,kersa
self esteen,n,jom
self honour,n,jom
self respect,adj,fulla
self respect,va,"mandu, yiiw"
selfish,va,buggé
sell,v,jaay
sell well,n,jar
seller,n,jaaykat
semen,n,maniiwu
send,v,"ebal, kii, yonni"
send for something/one,v,yoonée
Senegambian dish,n,baase
sense,n,sago
senseless,adj,ñaaka-xel
sensitive,va,nab
sentence,n,baat
seperate,v,"aatee, dëdale, taaxale, taayi, xaaj"
seperated,v,talaata
seperated,va,xajaaloo
serer,n,seereer
seriousness,n,soobee
sermons,v,waare
servant,n,"mbindaan, rapaas"
serve oneself,v,jafandu/jëfandu
serviceability,n,njəriň
serviette,n,musuwaar
serving spoon,n,kuddu luus
set,v,laa
set e.g. jelly,v,way
set on fire,v,jafal
setdown,v,taaj
set(sun),v,so
settle,v,"laa, toog"
sew,v,ñaw
shade,n,"keepar, ker"
shadow,n,takandeer
shake,v,"gësëm, yëngal"
shaken,va,yëngu
shaky,va,yanxa
shallow frying pan,n,teela
shame,va,gaace
shameless,adj,ñaaka-jom
share,n,"cër, waala, seddoo, sedaatte"
shared,v,talaata
shared,n,sedaatle
shark,n,cax
sharp-edge,n,cat
sharpen,v,les
shave,v,"lii, nel/ndel, wat, watu"
she,mungi,mungi
she,cp,mu
shea butter,n,diwingalam
sheath,n,"laa, mbar"
shed,n,xootit
shed,v,ruus
sheep,n,"kuy, xar"
sheer,va,woyof/oyof
sheet,n,"darab, kayit"
shell,n,xoor
shell fish,n,tuufa
shelter,n,mbaar
sheperd,n,saamakat
sherpen,v,naama
shin,n,eel
shine,n,melax
shine,v,melaxal
shiner,n,gena melax
ship,n,"gaal, saxaar"
shirt,n,"mbubba, simis"
shirt (local style),n,turki
shiver,v,"kof-koffi, lox"
shocking,va,waar
shoe,n,daala
shoe shine,v,siraas
shoot,v,fetel
shoot,n,jam
shoot with arrows,v,fita
shop in the market,v,duggo
shopping money/fish money,n,koppari ndawal
short,adj,gaata
short person,n,ndaama
"short person, etc.",n,ndaama
shortage,n,"manke, mankoo, manke naaka"
should,av,war
shoulder,n,mbaga
shout at someone,n,joowar
shout (loudly),v,yuuxu
shove,v,pomax
shovel,n,peel
show,v,won
show off,v,wonewu
showel,n,gasu/gasukaay
showing surprise,ex,way
showing surprise,n,moo
shrine,n,tuur
shroud,n,caangaay
shuffle,v,watat
sick,va,"feebar, oopa, wéradi"
sickly,va,"wéradi, xiibon"
sickness,n,jaahgoro
sickness,va,feebar
sick(often),va,xiibon
side,n,"laa, boor"
side,prep,wet
side of body,prep,wet
sides,n,wet
sieve,n,layu/layukaay
sift,v,seega
sift,n,lay
sight,v,seén
sign,n,"maandarga, melokaan"
silence,vn,dee
silence,n,noppi
silent,n,noppi
silent,v,dee
silk,n,sooy
silk cotten tree,n,bentenki
silly,adj,ñaakafayda
silver/gold smith,n,tëga
similar,adj,meéngoo
sin,n,"aaxa, baakaar"
since,v,dipi
sing,v,"laa, woy"
sink,v,"diig, suux"
sinner,n,baakarkat
sister in law,n,njëkké
sit,v,toog
sit in one place,n,toog
sit in one place,v,jeeki
sit on bended knees,n,gapareku
sitting room,n,saal
skid,v,mbar/mbarateko
skid (lightly),v,raay
skid (lightly),n,mbarr
skim,v,"ooyi/oy, oy/ooyi"
skin,n,der
skin disease,n,xam
skinny,n,sweijeex
skinny,va,laapa
skinny(slang),va,mees
skirt,n,sippa
sky,n,asamaan
sky blue colour,n,baxa
slack,va,"yanxa, yadaax/yedaax, yolom"
slap,v,mbej
slaughter,v,"reendi, rey"
slave,n,jaam
slavery,n,njaam
sleep,v,nelew
sleep on the floor with,v,ndëstan
sleepy,va,gomantu/geméntu
sleeve,v,maas
slice,n,dogit
slice,v,"dog, ferej, taraase"
slip,v,nama
slip in unexpectedly,v,fóla
slip in unexpectedly,inten,curux
slippers,n,carax
slippery,adj,nama
slot,v,sooti
slot,n,"suruxal, duggal"
slow,va,yiix
slowly,adj,ndanka
slumber,n,yaandóor
slumber,v,jinkoo
slumbering,vn,jinkoo
slumbering,n,yaandóor
sew,verb,tuuti
calabash,noun,mbaatu
smart,verb,"aay, saas"
smash,verb,tey
smear,verb,riib
smell,verb,"fóon, xeen"
smell bad,adjective,ëna
smell(bad),verb,xesew
smoke,noun,saxaar
smoke,verb,tux
smoker,verb,tuxkat
smother,noun,feyi
smother,verb,moppa
smuggle,verb,rawal
smuggler,noun,rawalekat
smuggling,noun,rawale
snail,noun,"tuufa, yéet"
Snake,noun,"jaan, saa"
snatch,verb,"kóf, paka"
snatch a bit of sleep,noun,gëf/gof
sneak,verb,yooleeku
sneak(expression),verb,moy
sneak(slang),verb,rooceeku
sneeze,verb,tisoóli
sniff,verb,xeentu
snival,verb,ñisabu
snivel,noun,yérémantalu
snore,verb,xandoor
snuff,noun,xemme
so,noun,kon
so,adverb,fo
so much,noun,nangam
so that,conjunction,ndax
so then,conjunction,noonu
soap,noun,saabu
soap water,noun,poótit
society,noun,kompin
socks,noun,kawas
soda,noun,limuunaat
soft drink,noun,limuunaat
soften by soaking,verb,gëjëf
soldier,noun,soldaar
solicit,verb,ñaan
solicit,noun,lojte
soliloguy,verb,woxtu/waxtu
soliloquise,verb,woxtu
solve,verb,faj
some,noun,doo
some,adjective,i
some,noun,anyi
some trouble,adjective,ay
someone,expression,saa-waay
someone who courts,noun,doxaankat
something,noun,"dara, lenna"
something esential,noun,farata
something that pricks,verb,cuuté/cuuce
song,noun,wóy
songs,noun,kasag
soot,noun,mboltin
sooth sayer,verb,seruntu
sorrel,noun,bisaab/basaab
sorrow,noun,"meetit, naxar, tiis"
sorrowful,verb,naxari
sorrowful,adjective,meéti
sorry,adjective,"maasa, mas"
soul,noun,ruux
sound,verb,riir
sound made by a breaking,noun,kak
soup,noun,ñeex
soup prepared with okra,noun,supa
sour,verb,forox
sour milk,noun,soow
sour sap,noun,maada
sour sap (local),noun,kabaa
sow,verb,ji
sow,noun,fii
sown,verb,ji
space,noun,palaas
spacious,verb,yaatu
spade,noun,"gopp/péel, peel"
spare,noun,garolemaa
speak,verb,"laaka, wax/wox"
speaker,noun,laakakat
spear,noun,xeej
species of cattle,noun,ndaama
speech,noun,kaadu
speed,noun,witées
spell,verb,korte
spell,noun,fere depaas
spend,verb,"def, jaay, laa"
spend a day,noun,fere depaas
spend a day,verb,eendal
spend the day,verb,"eendu, endu"
spend the night,verb,fanaan
spend the night sometime,verb,fanaanal
sperate,noun,taagaatle
sperm,noun,maniiwu
spew,verb,yuut
spider,noun,jargon
spied,noun,jeebaanu
spill,verb,tuur
spin,verb,wondaal
spirit,noun,"jine, tuur, yaleef"
spit,verb,tufli
spitting cobra,noun,ñangoor
spittle,noun,tuflit
splash,verb,tis
splay one's legs open,noun,"naaleeku, nooleeku"
splay one's legs open,verb,naapeeku
spleen,noun,gaadam
split open,verb,toj
split open,noun,amxar
spoil,verb,"kasaara, yaaxa"
spoiled,verb,yaaxu
sponge,noun,epons
spoon,noun,kuddu
spots,noun,"gaaka-gaaka, tooxa-tooxa"
sprain,noun,rëxa
sprain,adjective,foxoj
spread,verb,raacu
spread,verb,"firi, lal, law, raaca, roy"
spring,noun,tëb
sprinkle,verb,"suy, wis"
sprout,noun,meeña
sprout(flowering stage),noun,tóntóor
spy,noun,"jeebaanukat, jeebanu"
squash,noun,"baanga, naajo"
squat,noun,jonkon
squat,verb,jonkon
squeeze,verb,"lii, nal"
squirrel,noun,jaxat
stab,expression,daabuux
stab,noun,"jam-jam, soo"
stab,expression,cabax
stain,noun,"gaaka-gaaka, tooxa-tooxa"
stain,verb,"gaaka, taxa"
stake,verb,laa
stake,noun,tek
stammer,verb,"bar, dët"
stamp,verb,din-diņi
stamp,noun,tampe
stand,verb,"loo, taxaw"
stand-pipe,noun,"pompe, róbine"
starch,noun,"daakaande, gom"
stare,verb,xoole
stare,noun,xuli
start,verb,"door, kumaase, sañca, taal, taambali"
start early,verb,njëtu
start early,noun,teela door
start to,adjective,daldi
state of being quiet,noun,"nopi, niipi seeh"
state of being quiet,verb,mekka
state of being taken out,verb,deň
statemate,verb,maas-gu-dan
statement,noun,dekkandoor
status,noun,"jëmma/jomma, maaxaama"
stay long,verb,yaaga
steal,verb,saaca
steal,noun,weexa (slang)
steal (slang),verb,"njiin, njoof"
steam,verb,"muusal, tan"
steam,noun,suusal
steamed meat & fish,noun,ketandi
steamer,noun,indé
steer,n,saa.
step on someone/thing,v,dégaat.
step over,v,jeégi.
stew,n,"caa, cu."
stick,v,"taf, tapa."
stick,n,"banta, et, tay."
stick to,v,taxa.
sticky,n,taxe.
sticky,va,sécca.
still,n,"selew, teeyi."
still have,v,dese.
sting,n,"mata, maata."
sting,v,feeta.
stingy,va,"nay, noota."
stir,v,"maa, yëngal."
stockings,n,kawas.
stomach,n,biir.
stomach,va,biir.
stone,n,xeer/doj.
stone at someone,v,jam.
stood,v,loota.
stood,n,taxaw.
stool,n,"day, puup."
stop,v,"loo, taxaw, tees."
stop by,va,juux.
stop by,n,jaar.
stop raining(in process),v,séwët/sébet.
stopper,n,"kubeer, saañ."
store,n,"pukus, saaa, ngat."
storey building,n,taax.
stork,n,"ñaarapuloo, xooda, ñaalapaki."
stormy,n,ngelaane.
stormy,va,waame.
story,n,leeb.
straddle,v,war.
straight,va,taali.
straighten,n,"jub, jubal."
straighten,va,taali.
stranger,n,gan.
straw,n,ñax.
straw mattress,n,pajaas.
stream,n,"wayo, seyaan."
street,n,"koň, mbedda."
strength,n,"doole, kattan."
stretch,v,fudda.
stretch marks,n,rew.
stretch oneself,v,fuddu.
stretcher,n,balankaar.
strike,v,"dóor, gerew, ñef."
strike on the head,v,on.
strimp,n,sippa-sippa/sippax.
string,n,fiddiwol.
stripes,n,rew.
strips,n,xaf.
strive,va,"soonal, xaru."
stroll,v,doxantu.
structure,n,neeg.
struggle,v,ñaxa.
struggle,va,xaru.
struggle,n,coono.
stubborn,va,teexet.
stucked,va,can.
student,n,jangakat.
study,n,njanga.
study,v,janga.
stuff,n,yét.
stuff,v,"ñuux, roof."
stumble,v,fakatalu.
stump,adj,ëkka.
stun,va,waar.
stupid,n,dot.
stupid,va,"dof, toóy."
substantial,adj,buy.
subtract,v,geénee.
succeed,n,ndam.
succeed,v,teeki.
such as,adj,kom.
suck,v,moca.
suckle,v,nampa.
suddenly,adv,tir.
suffer,va,torox.
suffering,va,soonal.
suffering,n,coono.
sugar,n,sukkar/sukkur.
suit,n,kostiim.
suitcase,n,wolis.
summer,n,noor.
sun,n,naaj.
Sunday,n,Alet/dimaas.
sunny,va,naaje.
superior,n,njaati gi.
superstition,n,bidaa.
surname,n,"baayo, Fande, santa, bari."
surpass,va,gén.
surprise,v,daaxa.
surprise,ex,caa.
surprise,va,daaxa.
surprised,va,waaru.
surroundings,prep,wet.
surround(someone/thing),v,sëm.
swallow,v,wona/wana.
swallow(without,v,warax.
swaying of the hips,v,bañar-bañari.
swaying the hips,va,duguj-dagac.
swear,v,"gin/waat, waat."
sweat,v,ñaxa.
sweep,v,"bale, faxas, fita."
sweet,va,neex.
sweet potato,n,pataat/pataas.
swell,adj,nëwwi.
swell,n,neeri.
swiftly,adv,fat.
swiftly,n,gaaw.
swim,v,"féey, noo."
switch off,v,"fey, kamaj."
swollen,va,funki.
swollen,adj,nëwwi.
swollen eyelid,n,jumbuj.
sword,n,jaasi.
sympathize,va,yérém.
sympathy,n,yérmaande.
symtoms,n,melokaan.
t,v,Deeteeku.
table,n,taabul.
tag question maker,int,fo.
tail,n,geen.
tailor,n,"ñawkat, tajoor."
take,v,"bii, fob/fab, jël, taa, yoóbu."
take a bite,v,napati/nopati.
take a handful,v,tibba.
take a permission,v,taagu.
take a small bit,v,compa.
take a swallow,n,guux.
take a turn,v,laaxa.
take a walk,v,doxantu.
take abite,v,ŋaañ.
take advantage,v,muuse.
take along,v,yóbaale.
take an oath,v,waat.
take care of,v,"toopatoo, yor."
take charge,v,jiité.
take leave,v,taagu.
take one's share,v,saaka.
take out,v,geénee.
take out of the mouth,v,yaabi.
take rest in an airy plae,v,féexlu.
take sides,v,"faral, féétéé, laa."
talisman,n,gaalaaj.
talk,v,"wax/wox, wox/wax."
talk loudly,v,soow.
talk to oneself,v,woxtu.
tall,adj,njool.
tamarind,n,daxaar.
tan,v,wulli.
tang-top,n,genso.
tanner,n,wullikat.
tap,n,pompe.
tar,n,godoron.
tarred,n,tali.
taste,n,"ñam, safaay."
taste,v,guu.
tasteless,va,"saapi, xormbet."
tasty,va,saf.
tax,n,lempo.
taxi,n,taksi.
tea party,n,ataaya.
teach,v,jangale.
teacher,n,jangalekate.
tear,n,xootit
tear,v,"xar, xooti"
tears,n,rongoň
tease,v,"njoos, ñaawal"
teat,n,cus
tell,v,"fo, laa"
tell,n,waxin
tell a lie,n,fen
tell a story,v,leéb
tell off,v,"tanca, xas"
telling,n,waxin
telling,vn,foo
temple,n,"kabaab, nampatal"
ten,n,fukka
"tend sheep, cattle etc.",v,saami
tendon,n,caas
tenth,n,fukkeel
terminate,v,neef
termites,n,max
testicles,n,kooy
than,va,gena
thank,v,"gërëm, ngëmande"
thank you,n,jéréjëf
thanks,n,jéréjëf
thanks,adj,gërmande
that,v,ne
that,dem,"loolu, nele/nale"
that,conj,ko
that day,n,kerog/kerag
that person,dem,"kélé/kale, kooku"
that thing,dem,"lale, loolu"
that way,dem,nale
that way,manner,noonu
that which,int,lu?
that's why,ex,mootax
the,dem,ka
the,da,"bi, gi, ja, ji, ki, li, mi, si, wi"
the colour of red,very,cur/coy
the end of,n,"mujeél, muji"
the holy Quran,n,kaamiil
the king of cayor,n,jaraaf
the last,n,muje
the manner/way to do,n,anam
the middle,prep,digga
the most one can do,va,kem-kattan
the owner,n,borom
the,pl,yi
the second day after,n,sibir
the sun,n,janta
the world,n,aaduna
theft,n,cacca
them,opt,leen
them,isp,ñoom
then,adv,kon
then,conj,te
there,da,fa
there,dem,"fale/félé, félé, foofu, nale, nele/nale"
there about,prep,si/ci
therefore,adv,kon
thermometre,n,tamomoita
thermostat,n,tamostaat
these,dem,yii
they,oe,leñu
thief,n,"rawalekat, saacee"
thief(slang),n,randalkat
thigh,n,"luppa, pooj"
thin,va,"laapa, sew, woyof/oyof, yooy"
thing,n,"14f, yëf"
think,v,"fog/foog, xalaat"
think,va,"defe, yaakaar"
third,n,ñeteel
thirty,n,fanweer
timid,va,xuta
timid person,n,baanganooye
tin,n,pot
tiny,va,sew
tiny insect,n,mutu-mutu
tired,va,"loota, soona, xoox"
to,prep,"ci, pur"
to,postp,"fo, ka"
to agree on,va,deégoo
to appear,v,fóla
to arise,v,jiitu
to ask,v,"laaj, laajte"
to assume,va,defe
to assume,v,gaddu
to attempt,v,fexe
to avenge,v,feyeeku
to baby sit,v,baambaane
to backbite,v,joow
to bait,n,meeb
to bait,v,meeb
to be armed,va,gaacaayoo
to be awake,va,eewu
to be bent,va,banku
to be bent,v,dénga
to be divorced,va,fase
to be enlightened,va,eewu
to be removed,va,deň
to be rotten,va,fónax
to belief,va,gëm/góm
to benefit,va,jig
to border,v,géten
to bribe,v,ger/dukku
to bring,v,isi
to buy,v,jënda
to cackle,v,keeku
to calm,va,nax
to carry,v,meeb
to class,v,kalaase
to clean,v,fompa
to clear,v,faxas
to comb,n,peñe
to conceal,v,laaxa
to confront(slang),v,dal
to cover(oneself),v,muuru
to crawl under,v,mbota
to cross,v,jaala
to crumble,v,moxoñ
to cry,v,jooy
to cutdown,n,jas
to delegate,v,ebal
to deserve,v,eeloo
to dethrone,v,fooli
to direct,v,jiité
to dodge,v,mbas
to drive,ex,kus
to drive,v,dawal
to dust,v,"faxas, fogga"
to entangle,v,lëjal
this,dem,"jii, lii, mii"
this one,dem,bii
this person,dem,kii
this place,dem,fii
this very moment,dem,gii
this way,dem,nii
this year,n,"reen, ren"
those,dem,yooyu
those which are,rp,yu
thought,n,xalaat
thousand,n,njuné
thread,n,won
thread,v,nas
thresh,v,"baaca, lii"
throat,n,purux
through,postp,la
throw,v,"fay, fudda, saani, waaka, wal, wen"
throw someone down,v,mbas
throw with fare,v,cooral
thrown,n,fay
thunder lightening,n,melaxal
Thursday,n,Alxemes
tick,n,weten
tickle,v,raf
tide,n,"peese, waame"
tie,v,"eew, takka, waatiir"
tie an asnimal's two legs,v,jënga
tie in a knot,n,pas
tied,va,fasu
tiger,n,"segga/tene, tene"
tight,va,"dan, seere, xat"
tilapia,n,waas
tiles,n,karo
till,v,fo
till,postp,fo
tilt,v,moyal
time,n,"jamaano, tan, waxtu, woxtu/waxtu"
to erase,v,far
to estimate,v,fog/foog
to extract,v,buddi
to faint,n,meéda
